PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,FamilySize,IsAlone,FamilyBucket,TicketGroupSize,FarePerPerson,Deck
1,0,3,male,22.0,1,0,7.25,S,Mr,2,0,small,1,7.25,U
2,1,1,female,38.0,1,0,71.2833,C,Mrs,2,0,small,2,35.64165,C
3,1,3,female,26.0,0,0,7.925,S,Miss,1,1,alone,1,7.925,U
4,1,1,female,35.0,1,0,53.1,S,Mrs,2,0,small,2,26.55,C
5,0,3,male,35.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
6,0,3,male,30.0,0,0,8.4583,Q,Mr,1,1,alone,1,8.4583,U
7,0,1,male,54.0,0,0,51.8625,S,Mr,1,1,alone,2,25.93125,E
8,0,3,male,2.0,3,1,21.075,S,Master,5,0,large,5,4.215,U
9,1,3,female,27.0,0,2,11.1333,S,Mrs,3,0,small,3,3.7111,U
10,1,2,female,14.0,1,0,30.0708,C,Mrs,2,0,small,2,15.0354,U
11,1,3,female,4.0,1,1,16.7,S,Miss,3,0,small,3,5.566666666666666,G
12,1,1,female,58.0,0,0,26.55,S,Miss,1,1,alone,1,26.55,C
13,0,3,male,20.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
14,0,3,male,39.0,1,5,31.275,S,Mr,7,0,large,7,4.4678571428571425,U
15,0,3,female,14.0,0,0,7.8542,S,Miss,1,1,alone,1,7.8542,U
16,1,2,female,55.0,0,0,16.0,S,Mrs,1,1,alone,1,16.0,U
17,0,3,male,2.0,4,1,29.125,Q,Master,6,0,large,6,4.854166666666667,U
18,1,2,male,30.0,0,0,13.0,S,Mr,1,1,alone,1,13.0,U
19,0,3,female,31.0,1,0,18.0,S,Mrs,2,0,small,2,9.0,U
20,1,3,female,35.0,0,0,7.225,C,Mrs,1,1,alone,1,7.225,U
21,0,2,male,35.0,0,0,26.0,S,Mr,1,1,alone,2,13.0,U
22,1,2,male,34.0,0,0,13.0,S,Mr,1,1,alone,1,13.0,D
23,1,3,female,15.0,0,0,8.0292,Q,Miss,1,1,alone,1,8.0292,U
24,1,1,male,28.0,0,0,35.5,S,Mr,1,1,alone,1,35.5,A
25,0,3,female,8.0,3,1,21.075,S,Miss,5,0,large,5,4.215,U
26,1,3,female,38.0,1,5,31.3875,S,Mrs,7,0,large,7,4.483928571428572,U
27,0,3,male,30.0,0,0,7.225,C,Mr,1,1,alone,1,7.225,U
28,0,1,male,19.0,3,2,263.0,S,Mr,6,0,large,6,43.833333333333336,C
29,1,3,female,21.0,0,0,7.8792,Q,Miss,1,1,alone,1,7.8792,U
30,0,3,male,30.0,0,0,7.8958,S,Mr,1,1,alone,1,7.8958,U
31,0,1,male,40.0,0,0,27.7208,C,Rare,1,1,alone,1,27.7208,U
32,1,1,female,35.0,1,0,146.5208,C,Mrs,2,0,small,3,48.84026666666667,B
33,1,3,female,21.0,0,0,7.75,Q,Miss,1,1,alone,1,7.75,U
34,0,2,male,66.0,0,0,10.5,S,Mr,1,1,alone,1,10.5,U
35,0,1,male,28.0,1,0,82.1708,C,Mr,2,0,small,2,41.0854,U
36,0,1,male,42.0,1,0,52.0,S,Mr,2,0,small,2,26.0,U
37,1,3,male,30.0,0,0,7.2292,C,Mr,1,1,alone,1,7.2292,U
38,0,3,male,21.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
39,0,3,female,18.0,2,0,18.0,S,Miss,3,0,small,2,9.0,U
40,1,3,female,14.0,1,0,11.2417,C,Miss,2,0,small,2,5.62085,U
41,0,3,female,40.0,1,0,9.475,S,Mrs,2,0,small,1,9.475,U
42,0,2,female,27.0,1,0,21.0,S,Mrs,2,0,small,2,10.5,U
